Carimbo de data/hora,Idade,Sexo,Semestre,Renda familiar,Período,Você trabalha?,Quanto tempo estuda na internet (horas),Tempo de estudo diário,Mora com quem?,Há quanto tempo utiliza computador?,Você costuma acessar a Internet? ,Qual o dispositivo móvel que você mais acessa? ,tempo_conectado_internet_diario,Você utiliza a internet para trabalho? ,Você utiliza a internet para conversar com amigos?    ,Você utiliza a internet para conversar com desconhecido?,Você utiliza a internet para acessar e-mail?    ,Você utiliza a internet para realizar Pesquisas acadêmicas ?,Você utiliza a internet para acessar notícias através da internet?, Você utiliza a internet para fazer compras em lojas online?,Você utiliza a internet para assistir a vídeos online?,Você utiliza a internet para participar de jogos online?,Você acredita que a internet atrapalha a sua formação?,Você considera as redes sociais um ambiente tóxico?,Você utiliza a internet para fazer download de conteúdo?,O que o computador representa para você?,Como você se sente em relação a informática?
04/07/2024 21:09:06,21 a 30 anos,Feminino,5,De 4 a 6 salários mínimos,Diurno,Não,Acima de 4 horas,2 horas a 3 horas,Família,Mais de 12 anos,Sim,Celular,Entre 3 horas a 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Estou entusiasmado e quero saber muito mais
04/07/2024 21:09:14,17 a 20 anos,Feminino,4,De 1 a 3 salários mínimos,Diurno,Não,2 horas a 3 horas,3 horas a 4 horas,Família,De 4 a 6 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
04/07/2024 21:27:25,17 a 20 anos,Masculino,5,De 1 a 3 salários mínimos,Diurno,Não,Acima de 4 horas,Acima de 4 horas,Família,De 7 a 9 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
04/07/2024 21:38:54,21 a 30 anos,Feminino,5,Menos de 1 salário mínimo,Diurno,Não,1 hora a 2 horas,Acima de 4 horas,Amigos,Menos de 1 ano,Sim,Celular,Acima de 6 horas,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
04/07/2024 22:14:45,17 a 20 anos,Masculino,3,De 1 a 3 salários mínimos,Diurno,Não,Acima de 4 horas,3 horas a 4 horas,Só,De 10 a 12 anos,Sim,Celular,Entre 3 horas a 6 horas,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
04/07/2024 22:36:38,21 a 30 anos,Feminino,5,Menos de 1 salário mínimo,Diurno,Sim,Acima de 4 horas,1 horas a 2 horas,Só,De 4 a 6 anos,Sim,Computador/notebook,Acima de 6 horas,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
05/07/2024 00:18:14,21 a 30 anos,Masculino,6,De 1 a 3 salários mínimos,Diurno,Não,0 a 1 hora,0 a 1 hora,Família,Mais de 12 anos,Sim,Celular,Acima de 6 horas,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
05/07/2024 06:29:10,21 a 30 anos,Masculino,7,De 1 a 3 salários mínimos,Diurno,Não,2 horas a 3 horas,1 horas a 2 horas,Amigos,De 10 a 12 anos,Sim,Celular,Entre 3 horas a 6 horas,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
05/07/2024 08:59:19,17 a 20 anos,Feminino,1,De 1 a 3 salários mínimos,Diurno,Não,2 horas a 3 horas,1 horas a 2 horas,Família,Mais de 12 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
05/07/2024 17:48:29,21 a 30 anos,Feminino,7,De 4 a 6 salários mínimos,Diurno,Não,2 horas a 3 horas,0 a 1 hora,Amigos,De 10 a 12 anos,Sim,Celular,Entre 3 horas a 6 horas,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
05/07/2024 23:07:20,21 a 30 anos,Masculino,6,De 4 a 6 salários mínimos,Diurno,Sim,3 horas a 4 horas,2 horas a 3 horas,Família,Mais de 12 anos,Sim,Celular,Entre 3 horas a 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
05/07/2024 23:37:42,21 a 30 anos,Masculino,6,De 1 a 3 salários mínimos,Diurno,Não,Acima de 4 horas,1 horas a 2 horas,Família,De 10 a 12 anos,Sim,Celular,Entre 3 horas a 6 horas,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
06/07/2024 08:28:01,21 a 30 anos,Masculino,6,De 1 a 3 salários mínimos,Diurno,Não,1 hora a 2 horas,1 horas a 2 horas,Amigos,De 10 a 12 anos,Sim,Computador/notebook,Entre 3 horas a 6 horas,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
08/07/2024 07:55:26,21 a 30 anos,Masculino,8,De 1 a 3 salários mínimos,Diurno,Sim,1 hora a 2 horas,1 horas a 2 horas,Amigos,Mais de 12 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Estou entusiasmado e quero saber muito mais
08/07/2024 10:15:19,21 a 30 anos,Masculino,11,De 1 a 3 salários mínimos,Diurno,Sim,Acima de 4 horas,Acima de 4 horas,Família,De 10 a 12 anos,Sim,Computador/notebook,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Estou entusiasmado e quero saber muito mais
08/07/2024 10:17:12,17 a 20 anos,Feminino,3,Menos de 1 salário mínimo,Diurno,Não,3 horas a 4 horas,Acima de 4 horas,Família,De 7 a 9 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
08/07/2024 10:19:04,21 a 30 anos,Feminino,11,De 1 a 3 salários mínimos,Diurno,Sim,3 horas a 4 horas,3 horas a 4 horas,Família,Mais de 12 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
08/07/2024 10:23:06,21 a 30 anos,Masculino,8,De 1 a 3 salários mínimos,Diurno,Sim,2 horas a 3 horas,1 horas a 2 horas,Família,Mais de 12 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
08/07/2024 10:23:43,21 a 30 anos,Masculino,8,De 1 a 3 salários mínimos,Diurno,Não,Acima de 4 horas,Acima de 4 horas,Família,De 7 a 9 anos,Sim,Celular,Entre 3 horas a 6 horas,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Sou obrigada a aprender para poder estudar e/ou trabalhar
08/07/2024 10:23:58,21 a 30 anos,Feminino,10,De 1 a 3 salários mínimos,Diurno,Sim,1 hora a 2 horas,1 horas a 2 horas,Família,Mais de 12 anos,Sim,Celular,Entre 3 horas a 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
08/07/2024 10:25:41,21 a 30 anos,Feminino,5,De 1 a 3 salários mínimos,Diurno,Sim,2 horas a 3 horas,2 horas a 3 horas,Família,De 4 a 6 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Sou obrigada a aprender para poder estudar e/ou trabalhar
08/07/2024 10:26:41,21 a 30 anos,Masculino,10,De 1 a 3 salários mínimos,Diurno,Sim,Acima de 4 horas,1 horas a 2 horas,Família,Mais de 12 anos,Sim,Computador/notebook,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
08/07/2024 10:26:49,21 a 30 anos,Masculino,9,De 1 a 3 salários mínimos,Diurno,Sim,Acima de 4 horas,2 horas a 3 horas,Família,Mais de 12 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
08/07/2024 10:27:19,21 a 30 anos,Feminino,1,De 1 a 3 salários mínimos,Diurno,Sim,Acima de 4 horas,3 horas a 4 horas,Amigos,Mais de 12 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Estou entusiasmado e quero saber muito mais
