Carimbo de data/hora,Idade,Sexo,Semestre,Renda familiar,Período,Você trabalha?,Quanto tempo estuda na internet (horas),Tempo de estudo diário,Mora com quem?,Há quanto tempo utiliza computador?,Você costuma acessar a Internet? ,Qual o dispositivo móvel que você mais acessa? ,tempo_conectado_internet_diario,Você utiliza a internet para trabalho? ,Você utiliza a internet para conversar com amigos?    ,Você utiliza a internet para conversar com desconhecido?,Você utiliza a internet para acessar e-mail?    ,Você utiliza a internet para realizar Pesquisas acadêmicas ?,Você utiliza a internet para acessar notícias através da internet?, Você utiliza a internet para fazer compras em lojas online?,Você utiliza a internet para assistir a vídeos online?,Você utiliza a internet para participar de jogos online?,Você acredita que a internet atrapalha a sua formação?,Você considera as redes sociais um ambiente tóxico?,Você utiliza a internet para fazer download de conteúdo?,O que o computador representa para você?,Como você se sente em relação a informática?
08/07/2024 11:27:12,17 a 20 anos,Feminino,1,De 7 a 9 salários mínimos,Diurno,Não,Acima de 4 horas,1 horas a 2 horas,Família,De 10 a 12 anos,Sim,Celular,Entre 3 horas a 6 horas,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
08/07/2024 11:29:03,21 a 30 anos,Feminino,2,De 1 a 3 salários mínimos,Diurno,Não,Acima de 4 horas,1 horas a 2 horas,Família,De 7 a 9 anos,Sim,Celular,Acima de 6 horas,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
08/07/2024 11:35:08,17 a 20 anos,Feminino,2,De 1 a 3 salários mínimos,Diurno,Não,2 horas a 3 horas,3 horas a 4 horas,Família,Menos de 1 ano,Sim,Celular,Entre 3 horas a 6 horas,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Sou obrigada a aprender para poder estudar e/ou trabalhar
08/07/2024 11:37:57,21 a 30 anos,Feminino,5,De 1 a 3 salários mínimos,Diurno,Não,Acima de 4 horas,Acima de 4 horas,Amigos,De 1 a 3 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Sou obrigada a aprender para poder estudar e/ou trabalhar
08/07/2024 11:43:14,21 a 30 anos,Feminino,2,De 1 a 3 salários mínimos,Diurno,Não,Acima de 4 horas,3 horas a 4 horas,Família,Menos de 1 ano,Sim,Celular,Entre 1 hora a 3 horas,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
08/07/2024 11:54:44,17 a 20 anos,Feminino,4,De 1 a 3 salários mínimos,Diurno,Não,3 horas a 4 horas,1 horas a 2 horas,Família,De 1 a 3 anos,Sim,Celular,Entre 3 horas a 6 horas,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Acho tudo muito difícil e complicado
08/07/2024 12:03:35,21 a 30 anos,Masculino,8,De 1 a 3 salários mínimos,Diurno,Sim,Acima de 4 horas,1 horas a 2 horas,Família,De 7 a 9 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
08/07/2024 12:15:08,21 a 30 anos,Feminino,7,De 1 a 3 salários mínimos,Noturno,Sim,1 hora a 2 horas,1 horas a 2 horas,Amigos,De 7 a 9 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
08/07/2024 12:58:59,21 a 30 anos,Feminino,7,De 4 a 6 salários mínimos,Diurno,Sim,2 horas a 3 horas,3 horas a 4 horas,Família,De 7 a 9 anos,Sim,Celular,Acima de 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
08/07/2024 15:47:01,17 a 20 anos,Masculino,1,De 1 a 3 salários mínimos,Diurno,Não,1 hora a 2 horas,2 horas a 3 horas,Família,Menos de 1 ano,Sim,Celular,Entre 3 horas a 6 horas,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
08/07/2024 19:14:13,17 a 20 anos,Feminino,3,Menos de 1 salário mínimo,Diurno,Não,3 horas a 4 horas,3 horas a 4 horas,Família,De 1 a 3 anos,Sim,Celular,Acima de 6 horas,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Sou obrigada a aprender para poder estudar e/ou trabalhar
08/07/2024 20:52:43,21 a 30 anos,Masculino,7,De 4 a 6 salários mínimos,Diurno,Sim,3 horas a 4 horas,1 horas a 2 horas,Família,De 10 a 12 anos,Sim,Celular,Entre 3 horas a 6 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
